cod_municipio;PopResid;ExpecVida;idoso;mulher;nascimentopercapta;casado;evangelico;deficiente;densidadepop;geladeira;moradorfavela;pavimentacao;brancos;nvelsuperiorconcludo;conclusoensinomdio;ResideMenos10anos;resideoutranacionalid;taxadedesemprego;taxatrabinfantil;horastrabalho;Gini;CobBFamilia;traboutromun
1101468;2315;73.98;8.207343413;47.39;18.92;29.25;22.31;21.01;0.38;84.11;0.52;0.104535637;35.80993521;5.96;17.44;10.02159827;0.75;4.431599229;9.970000267;30.14;0.496399999;64.36000061;1.09
1101476;3524;72.94;10.0737798;47.33;12.79;42.65;19.8;28.41;5.82;91.69;0;0.207434733;44.40976163;3.03;10.76;8.059023837;0;3.825803826;13.46000004;22.44;0.51880002;86.58000183;10.93
1101484;6018;71.78;10.68461283;48.72;12.34;48.14;27.62;26.46;11.11;97.66;0;0.078431373;41.8079096;4.42;12.81;6.347623795;0;2.94384058;13.30000019;22.41;0.469500005;68.36000061;7.96
1101492;16035;70.04;6.516994075;47.52;12.93;36.57;35.55;22.09;1.46;84.96;0;0.043966324;36.8693483;5.08;12.24;9.030246336;0.17;3.459119497;25.98999977;24.52;0.568400025;91.52999878;1.14
1101500;11629;71.75;6.819158999;47.66;15.5;46.46;35.37;21.62;3.08;84.5;0.17;0.089861553;40.91495399;2.9;7.87;6.10542609;0.05;2.947474493;38.84000015;19.51;0.638400018;65.29000092;1.56
1101559;4888;74.09;10.98608838;48.04;11.92;44.14;26.29;24.44;10.63;95.07;0;0.13809329;33.87888707;3.66;10.41;3.048281506;0;2.336182336;23.85000038;14.08;0.434599996;78.36000061;2.36
1101609;10649;70.4;8.498450559;46.92;13.04;40.74;34.78;25.41;4.85;92.38;0;0.089773688;33.53366513;4.07;6.03;6.629730491;0.08;3.636363636;26.87000084;23.45;0.576300025;67.37000275;3.39
1101708;12974;71.32;9.079697857;48.12;11.38;42.96;35.56;28.24;15.6;93.31;0.08;0.121550794;37.18205642;3.53;8.54;6.289502081;0.16;3.131094258;30.10000038;20;0.516499996;71.05000305;2.31
1101757;9384;70.36;8.013640239;46.94;10.04;41.29;35.62;23.17;2.99;77.71;0.07;0.093243819;29.2625746;4.39;9.63;6.063512361;0.05;2.635272104;22.62000084;23.05;0.572700024;62.47999954;2.25
1101807;8210;72.5;8.794153471;48.31;10.74;42.47;33.31;17.96;8.5;94.09;0;0.030085262;33.81242387;3.46;10.6;6.394640682;0.06;1.647220316;6.5;15.9;0.588500023;78.55999756;3.13
1200013;12538;73.45;6.643802839;47.42;21.07;30.83;36.27;19.66;6.94;90.13;0.27;0.180650822;26.54330834;4.22;14.09;14.89870793;0.03;5.515678126;14.56000042;25.32;0.546400011;62.15000153;4.66
1200054;6072;71.19;6.554677207;49.09;45.84;27.41;28.88;19.63;1.22;74.63;1.16;0.209321476;25.16469038;4.69;17.66;3.787878788;0.98;4.209418574;5.519999981;21.39;0.622799993;64.33000183;0.75
1200104;21398;71.22;7.491354332;48.42;23.8;26.74;26.21;20.19;5.46;84.17;0;0.2462847;25.44163006;5.71;16.31;4.77147397;0.27;3.377993158;15.52000046;20.3;0.594500005;59.99000168;4.47
1200138;8471;71.32;7.413528509;46.06;22.46;25.44;34.74;17.48;2.79;85.3;0.24;0.279896116;21.11911227;4.21;12.58;2.762365718;0.12;2.079851439;5.599999905;32.98;0.583199978;72.26000214;9.99
1200179;8798;72.62;7.03568993;47.09;21.79;28.42;38.36;25.22;5.17;88.72;0.13;0.194362355;16.4128211;3.44;11.46;3.148442828;0;2.934579439;21.80999947;25.95;0.562699974;84.19000244;2.94
1200203;78507;71.58;6.180340607;50.04;22.86;22.9;26.61;23.41;8.94;88.7;0.18;0.444418969;25.25379902;7.63;21.93;5.546002267;0.05;4.569619991;10.05000019;35.64;0.64380002;54.11999893;2.93
1200252;15100;71.27;7.337748344;49.5;18.64;23.69;32.01;27.12;9.13;85.42;0;0.311589404;21.43046358;7.2;20.71;8.198675497;1.54;4.34078721;15.63000011;36.95;0.606999993;45.34000015;7.99
1200302;32412;68.35;5.679995064;48.43;26.52;22.5;26.22;20.45;1.16;60.09;0;0.349469332;29.35332593;4.44;12.74;2.017771196;0;3.150557111;21.27000046;25.89;0.677399993;57.36999893;0.46
1200328;6577;68.83;2.554356089;48.12;37.54;23.78;11.83;10.64;1.23;30.78;0.51;0.160863616;15.11327353;2.47;11.18;0.821043029;0;3.094098884;13.64999962;16.88;0.711199999;46.54999924;0
1200336;15206;71.17;5.945021702;48.47;29.24;22.17;27.08;21.79;2.79;81.49;0;0.188478232;14.35617519;4.44;21.5;1.55201894;0.07;2.855867916;10.10000038;14.35;0.610199988;74.09999847;4.47
1200344;7981;71.04;5.513093597;46.69;28.09;17.27;28.45;18.3;0.75;70.74;0;0.286304974;16.06314998;4.35;14.27;3.946873825;0.03;1.589029168;12.09000015;44.28;0.593900025;81.98999786;0.72
1200351;14227;68.55;3.486328811;47.54;34.01;20.58;18.78;13.19;1.74;36.53;0;0.141350952;14.75363745;2.25;9.32;0.787235538;0;3.308823529;25.81999969;11.43;0.593800008;85.05000305;0.1
1200385;17209;72.17;7.664594108;47.71;20.52;28.22;29.84;22.79;8.86;91.1;0.22;0.323667848;23.83055378;4.66;16.98;4.363995584;0.19;4.17473044;10.84000015;30.22;0.574999988;69.51000214;2.39
1200393;9176;68.58;3.781604185;47.76;40.24;11.05;12.48;21.92;1.42;46.73;0;0.112903226;26.00261552;1.42;13.42;0.163469922;0;1.956425078;24.54999924;16.12;0.609399974;84.44000244;0.58
1200401;336038;72.85;6.45046096;51.32;20.49;28.45;39.77;24.18;38.03;96.97;0.2;0.483960147;26.1163916;13.01;28.56;5.786250365;0.12;5.971729302;7.159999847;26.28;0.612100005;44.93000031;1.11
1200427;14389;69.18;4.670234207;48.02;34.61;22.11;29.1;18.16;4.68;82.56;0;0.195357565;21.02300368;4.01;14.84;0.924317187;0.06;3.818646232;19.21999931;19.44;0.646300018;69.62000275;1.95
1200435;4691;71.86;2.856533788;48.71;47.46;19.89;17.08;9.66;0.76;45.4;4.51;0.193135792;16.54231507;2.33;16.38;1.534853976;0.35;2.062289562;9.479999542;17.64;0.77579999;98.38999939;0
1200450;20179;72.17;7.929035136;48.82;19.16;24.71;33.97;25.85;8.69;95.89;0;0.392487239;18.4250954;5.41;16.9;3.929828039;0.19;4.461023143;5.809999943;26.07;0.559000015;63.63000107;12.46
1200500;38029;73.59;6.476636251;48.09;26.9;25.07;26.57;20.69;1.6;74.69;0.02;0.472139683;16.95548134;4.02;19.03;2.345578374;0;5.494551551;16.19000053;29.02;0.548500001;75.98000336;1.01
1200609;35590;68.21;6.032593425;48.43;35.17;22.88;20.6;20.18;1.76;64.2;0.17;0.310901939;22.56251756;3.43;12.12;2.087665074;0;2.052087556;15.5;26.25;0.648100019;48.29000092;0.85
1200708;16091;71.38;8.45192965;48.31;20.52;20.16;22.59;24.26;3.01;78.09;0.07;0.229817911;18.51966938;5.33;15.52;2.628798707;0.03;2.861313869;12.68000031;23.07;0.589999974;60.59999847;0.64
1200807;14880;71.24;8.010752688;47.28;23.24;27.23;30.12;22.39;5.71;90.85;0.04;0.084341398;20.65860215;2.73;12.94;5.60483871;0.07;1.724876795;5.820000172;13.61;0.612100005;92.54000092;5.46
1300029;14088;71.69;4.699034639;47.36;24.04;15.31;25.55;15.07;2.38;62.68;0;0.509795571;13.06076093;3.28;12.87;0.511073254;0.11;1.465447701;8.56000042;26.56;0.588100016;74.58999634;2.28
1300060;9467;71.36;5.144185064;48.22;27.21;25.66;35.05;18.04;1.99;45.36;0.36;0.420302102;4.40477448;3.3;19.35;1.014048801;0.37;3.170028818;10.38000011;15.85;0.669799984;90.93000031;0.43
1300086;10214;69.48;5.933033092;46.68;19.37;17.07;29.65;17.17;4.16;53.21;0;0.342373213;8.95829254;4.75;23.91;0.61680047;0;5.068128946;17.53000069;16.82;0.58069998;84.05999756;0.68
1300102;16317;70.42;5.914077343;47.84;16.09;17.28;27.99;21;2.82;61.76;0;0.366366366;14.61665747;3.86;13.75;0.870258013;0.13;6.006994446;17.18000031;19.6;0.598399997;84.33000183;1.79
1300144;18007;71.29;5.236852335;46.96;12.27;22.92;26.56;18.65;0.33;70.72;0.36;0.170766924;36.21369467;3.84;13.6;24.65152441;0;4.304828389;15.76000023;35.48;0.575299978;57.52999878;2.75
1300201;15153;68.95;4.04540355;48.18;20.01;8.42;15.1;13.35;0.2;36.95;0;0.281594404;9.08071009;2.53;9.69;1.319870653;0.79;4.692852249;21.29000092;26.57;0.659399986;84.80000305;0.77
1300300;32135;72.91;7.063948965;47.13;25.38;22.94;34.92;23.06;4.23;61.27;0.2;0.294849852;19.56433795;3.91;12.83;2.361910689;0.03;3.16309543;18.77000046;19.42;0.598200023;59.33000183;1.37
1300409;25718;68.69;5.505871374;46.28;12.87;11.84;17.57;13.79;0.21;53.36;0;0.35978692;9.849132903;3.14;10.03;1.811960495;0.01;6.573816156;8.979999542;18.75;0.736699998;94.88999939;0.13
1300508;27355;71.45;6.572838604;47.68;24.23;24.48;13.68;20.91;4.76;44.55;0.03;0.243136538;8.693109121;3.32;16.58;0.943154816;0;6.853963084;19.20999908;16.59;0.604900002;98.40000153;0.82
1300607;33411;70.78;5.653826584;48.34;30.21;15.62;31.48;18.94;3.8;60.4;0.27;0.340875759;8.751608752;3.78;17.77;2.196881267;1.37;3.88576282;14.93000031;18.65;0.566500008;71.80999756;2.12
1300631;15486;68.85;5.488828619;47.4;25.84;19.13;35.08;20.76;0.9;53.83;0;0.399134702;9.318093762;2.33;11.6;0.238925481;0.02;3.165872143;17.90999985;27.52;0.657400012;82.34999847;0.66
1300680;14979;69.99;5.400894586;46.96;22.82;24.83;25.92;24.77;5.79;46.25;0;0.281126911;9.820415248;3.25;14.51;0.674277322;0;4.346779049;13.90999985;15.35;0.609700024;57.31999969;2.08
1300706;30632;71.59;6.924131627;47.94;22.22;19.36;31.53;22.31;1.4;67.21;0;0.491381562;25.45703839;6.3;12.57;4.851136067;0.07;4.431465009;14.73999977;31.72;0.642700016;72.83999634;1.34
1300805;34961;71.53;5.903721289;47.84;20.22;17.44;23.74;18.52;0.79;49.95;0.02;0.393981866;11.44704099;3.09;15.42;1.132690713;0.02;6.08678184;23.39999962;24.1;0.636399984;81.72000122;1.1
1300839;10975;71.49;5.548974943;47.04;16.11;20.29;33.01;20.18;1.16;71.55;0;0.332665148;12.4738041;4.19;18.54;1.011389522;0;2.562509706;13.86999989;24.23;0.597000003;82.01999664;2.81
1300904;12738;70.1;6.602292354;46.05;15.4;14.07;21.64;21.44;0.43;53.94;0;0.411995604;19.44575287;2.77;11.79;13.25953839;0.05;2.684319203;12.27000046;21.62;0.618499994;96.05999756;1.76
1301001;25774;69.68;5.400791495;48.56;23.45;16.31;21.78;24.01;1;73.62;0.23;0.662217739;22.38690153;5.04;12.12;1.055327074;0.05;2.33530847;21.39999962;27.1;0.540199995;60.75;7.88
1301100;32734;71.76;5.972383455;48.1;11.92;29.34;27.67;13.94;5.37;71.92;0.33;0.255575243;19.49654793;2.55;13.3;2.63334759;0;3.00645682;9;11.55;0.666800022;49.25;2.26
1301159;23930;71.76;7.801922273;46.98;8.61;38.08;30.04;24.67;9.09;71.68;0;0.032636858;16.3142499;3.17;13.35;0.798161304;0;1.965795164;12.35000038;13.86;0.5722;99.91000366;1.41
1301209;75965;71.79;5.260317251;48.03;24.67;16.56;26.17;17.37;1.31;65.71;0.6;0.52331995;15.06483249;5.13;17.07;1.27295465;0.16;6.091858585;18.64999962;33.37;0.623399973;38.81000137;0.48
1301308;23206;71.49;5.584762561;47.83;21.07;15.08;33.4;16.8;1.24;61.5;0.18;0.477204171;12.87167112;3.56;17.32;0.818753771;0.08;5.236206275;11.60000038;35.93;0.6153;26.51000023;1.48
1301407;30665;70.37;5.308984184;48.54;26.42;11.14;20.15;18.25;2.04;66.78;0.4;0.533865971;24.82634926;5.51;16.19;0.84461112;0.06;4.988479263;19.89999962;37.62;0.623700023;70.04000092;1.09
1301506;16338;68.63;4.914922267;48.64;18.83;14.87;18.61;18.58;2.18;64.24;0;0.482862039;26.6066838;4.93;11.8;4.211041743;0;6.436403509;10.06000042;30.02;0.637399971;82.76000214;0.22
1301605;22817;68.13;5.701888942;48.18;24.31;13.1;24.45;18.29;1.88;60.89;0.11;0.607704782;10.76390411;3.1;13.04;0.407590831;0.15;3.579641269;19.30999947;16.96;0.630999982;82.61000061;0.54
1301654;13974;70.7;4.544153428;48.01;26.94;11.08;16.33;15.39;1.84;63.27;0;0.424860455;17.28925147;3.9;12.82;6.132818091;0.05;1.582940869;7.800000191;13;0.739700019;91.59999847;5.03
1301704;44227;72.47;6.222443304;47.53;20.13;20.28;15.54;19.74;1.34;75.02;0;0.573224501;21.44843648;6.45;18.73;8.463155991;0.06;5.223634565;8.020000458;25.92;0.675100029;82.61000061;1.72
1301803;22254;71.32;4.484587041;48.98;21.05;7.53;11.52;10.27;1.85;48.49;0.07;0.279994608;29.77442258;2.16;13.15;1.455918037;0;2.560841177;19.78000069;42.31;0.586300015;23.89999962;0.34
1301852;40781;72.94;6.976287977;48.52;22.76;19.29;32.96;24.8;18.42;83.32;0.2;0.516024619;17.96670018;3.89;17.57;3.749295015;0.09;3.508203362;11.05000019;32.24;0.602900028;73.98000336;7.26
1301902;86839;73.66;7.316988911;48.84;23.02;25.8;30.72;22.68;9.77;77.92;0.39;0.59071385;18.85328021;5.89;22.65;2.629003098;0.07;5.612339714;9.460000038;28.47;0.596899986;83.76000214;2.08
1301951;8038;71.32;4.354316994;47.3;21.35;15.27;14.37;9.78;0.32;49.2;0;0.331425728;14.91664593;3.75;4.5;0.323463548;0;2.331838565;6.769999981;19.04;0.77609998;92.90000153;0.72
1302009;8211;72.54;7.380343442;47.64;21.3;25.91;33.54;25.73;1.94;73.91;0.37;0.600292291;19.16940689;5.22;27.14;2.301790281;0.37;5.458167331;22.62000084;28;0.673200011;86.83000183;4.35
1302108;7326;69.85;3.712803713;47.65;20.75;8.77;32.98;10.88;0.13;50.09;0;0.201337701;13.2951133;3.6;7.08;1.71990172;0.11;6.614596046;12.60999966;30.07;0.59859997;78.27999878;0.38
1302207;10802;67.24;4.499166821;48.64;15.95;13.88;26;20.22;0.56;60.51;0.09;0.469264951;17.86706166;2.54;8.9;0.342529161;0.05;5.215495556;24.17000008;28.44;0.605599999;88.5;0.84
1302306;17992;70.93;4.957759004;47.58;23.65;9.18;32.65;17.27;0.26;53.35;0;0.5129502;12.29435305;3.74;8.47;0.555802579;0.29;3.131345517;33;20.57;0.694000006;59.41999817;0.63
1302405;37701;69.62;5.989231055;47.91;18.4;13.95;20.69;25.82;0.55;61.91;0.12;0.500676375;20.67053924;3.57;10.97;4.551603406;0.06;5.555056986;20.29000092;31.58;0.599099994;75.87999725;1.62
1302504;85141;72.69;6.886224028;48.95;23.56;20.94;36.83;24.1;11.62;73.9;0.41;0.606405844;16.94130912;3.57;18.91;1.727722249;0.1;6.041832553;13.84000015;38.74;0.568799973;93.06999969;4.28
1302553;22801;69.88;6.499714925;48.49;9.41;30.75;25.16;18.4;5.73;52.66;0.23;0.283189334;15.44669093;2.31;12.4;1.3902899;0.13;4.315253221;15.43999958;14.36;0.576600015;88.58999634;0.41
1302603;1802014;74.54;6.043349275;51.18;22.23;27.05;35.56;25.61;158.06;96.62;1.14;0.868481599;26.59196876;10.99;38.92;7.025139649;0.18;7.113658781;7.179999828;29.28;0.633400023;51.5;1.02
1302702;47017;69.83;6.29346832;47.5;17.69;14.67;17.46;15.16;0.97;51.31;0.69;0.331837421;24.01259119;4.33;15.01;4.670651041;0;4.393505253;17.55999947;26.32;0.6074;54.29999924;0.58
1302801;17528;70.78;3.634185304;46.33;17.97;15.44;25.61;15.37;1.04;51.43;0.25;0.307336832;11.87813784;1.96;12.13;0.775901415;0.03;8.951646519;18.75;25.32;0.697700024;99.93000031;0.4
1302900;52236;72.97;6.501263496;47.77;25.87;25.18;23.61;19.51;1.31;44.98;0.45;0.436920897;11.9323838;5.57;15;1.4204763;0.02;2.595368982;20.68000031;18.49;0.645200014;75.29000092;0.76
1303007;18278;71.73;7.58288653;48.05;16.76;23.96;11.04;19.34;1.3;43.64;0.11;0.343418317;7.604770763;3.88;15.27;3.009081956;0;7.531266993;13.46000004;15.58;0.658599973;99.76000214;1.45
1303106;30696;71.81;6.121318739;48.7;19.31;16.3;25.58;20.78;5.47;49.32;0;0.417383372;13.08313787;4.05;12.69;1.576752671;0.04;3.488626422;33.83000183;28.31;0.633700013;61.02000046;2.94
1303205;14723;71.55;6.438905114;48.33;18.46;14.87;30.95;17.43;0.39;67.15;0;0.340895198;12.17143245;5.96;15.96;1.684439313;0.2;3.40166205;10.67000008;11.36;0.603699982;89.05000305;3.72
1303304;21451;70.52;6.512516899;46.72;18.23;12.83;22.33;21.36;0.52;56.19;0.66;0.402032539;12.35839821;3.47;16.23;5.971749569;0.03;5.272421182;21.12000084;19.44;0.574899971;71.59999847;0.99
1303403;102033;72.97;7.127105936;48.74;20.32;23.74;15.84;19.73;17.14;67.7;0.29;0.564376231;12.95267217;7.24;24.28;2.724608705;0.02;5.203919708;11.90999985;28.92;0.594699979;96.29000092;1.65
1303502;18166;68.45;4.574479797;47.76;16.82;12.44;17.88;16.99;0.44;54.21;0.07;0.360398547;18.30342398;3.51;15.25;2.768908951;1.01;6.328864353;21.98999977;11.22;0.726800025;52.43000031;0.42
1303536;27175;73.1;5.225390984;47.19;19.36;26.41;32.94;22.34;1.07;83.61;0.73;0.441103956;19.16467341;4.92;22.61;13.65225391;0.12;3.741436852;12.86999989;25.33;0.538399994;92.25;2.17
1303569;25719;72.12;5.361794782;47.88;13.85;22.07;34.3;18.11;4.42;88.81;0.36;0.39908239;22.88969245;2.61;19.73;7.982425444;0.09;10.32075585;14.21000004;16.81;0.556599975;53.38999939;2.41
1303601;18146;69.2;5.736801499;48.63;16.63;8.18;8.69;12.34;0.29;37.37;0.1;0.323377053;4.474815386;3.33;14.25;2.154744847;0.07;2.583633556;19.44000053;8.26;0.522499979;90.84999847;0.26
1303700;24481;70.52;4.726114129;48.56;21.75;16.25;45.56;17.89;1.99;56.51;0;0.360973816;7.422082431;2.45;11.81;1.764633798;0.55;3.445483325;14.97999954;22.98;0.673799992;48.31000137;0
